               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.023471,            0.041628,            0.011597,             0.74724,              0.9487,             0.87466,             0.59026,            0.017563,            0.024462,           0.0048665,            0.006436,            0.006436,            0.006436
                  38,            0.025528,            0.047162,             0.01212,             0.91781,             0.92062,             0.96615,             0.75501,             0.01377,            0.022489,           0.0047015,            0.006337,            0.006337,            0.006337
                  39,            0.020714,            0.044576,            0.011049,             0.91425,             0.92898,             0.96292,             0.70843,            0.017773,            0.023871,           0.0042325,            0.006238,            0.006238,            0.006238
                  40,            0.023256,            0.039903,            0.010297,             0.89154,             0.92171,             0.96437,             0.65715,            0.017375,            0.023062,           0.0042034,            0.006139,            0.006139,            0.006139
                  41,            0.024895,             0.04082,            0.011235,             0.91362,             0.92314,             0.97255,             0.70362,             0.01548,            0.022403,            0.003983,             0.00604,             0.00604,             0.00604
                  42,            0.023461,            0.043108,            0.010661,             0.72169,             0.91358,             0.90669,                0.66,            0.017469,            0.022571,             0.00434,            0.005941,            0.005941,            0.005941
                  43,            0.025766,            0.044319,            0.010964,             0.78023,             0.91972,             0.92663,             0.57222,            0.016577,            0.023103,           0.0039624,            0.005842,            0.005842,            0.005842
                  44,            0.022571,            0.040193,             0.01008,             0.89451,             0.94753,             0.96838,             0.71226,            0.013389,            0.021971,           0.0042066,            0.005743,            0.005743,            0.005743
                  45,            0.021652,            0.039253,            0.010017,             0.78746,             0.91745,             0.93406,             0.64346,              0.0199,            0.022359,           0.0036725,            0.005644,            0.005644,            0.005644
                  46,            0.023039,             0.04129,              0.0107,              0.9242,             0.94359,             0.97458,             0.75129,            0.012802,            0.021879,            0.003423,            0.005545,            0.005545,            0.005545
                  47,             0.01959,            0.040903,           0.0087654,             0.90992,             0.93938,             0.97173,             0.71665,            0.015345,            0.024162,           0.0033618,            0.005446,            0.005446,            0.005446
                  48,            0.023395,            0.041297,           0.0095446,             0.91541,             0.95886,              0.9766,             0.71596,             0.01622,            0.021685,           0.0030544,            0.005347,            0.005347,            0.005347
                  49,            0.022532,            0.045062,           0.0099632,             0.90873,             0.96277,             0.97671,             0.74436,            0.012381,            0.021383,           0.0032541,            0.005248,            0.005248,            0.005248
                  50,            0.020438,              0.0434,           0.0097328,             0.89111,             0.94834,             0.97426,             0.63479,            0.019239,            0.021255,           0.0033093,            0.005149,            0.005149,            0.005149
                  51,            0.022908,            0.040221,            0.010594,             0.91306,             0.94314,              0.9772,              0.7674,            0.012154,             0.02108,           0.0033587,             0.00505,             0.00505,             0.00505
                  52,            0.018426,            0.040101,           0.0088787,             0.92903,             0.92559,             0.97819,             0.81003,            0.010825,            0.020645,           0.0031383,            0.004951,            0.004951,            0.004951
                  53,            0.018123,            0.036233,           0.0096153,              0.9295,             0.94205,             0.97874,             0.77351,            0.013164,            0.021225,           0.0030102,            0.004852,            0.004852,            0.004852
                  54,            0.017153,            0.035476,           0.0081031,             0.94746,             0.93106,             0.98034,              0.7986,            0.011631,            0.021107,           0.0027962,            0.004753,            0.004753,            0.004753
                  55,            0.017713,            0.038812,           0.0083831,             0.91269,             0.95723,             0.97895,             0.76743,            0.013781,            0.020443,           0.0029417,            0.004654,            0.004654,            0.004654
                  56,            0.019432,            0.037722,           0.0088808,             0.89892,              0.9383,             0.97281,             0.78697,            0.015239,            0.020689,           0.0028668,            0.004555,            0.004555,            0.004555
                  57,            0.020826,            0.040927,           0.0084425,             0.93832,             0.95989,             0.98222,             0.80734,             0.01193,            0.020146,           0.0025512,            0.004456,            0.004456,            0.004456
                  58,            0.017046,            0.039215,           0.0085015,             0.93105,             0.96709,             0.98015,             0.76869,            0.014243,            0.021146,           0.0024389,            0.004357,            0.004357,            0.004357
                  59,            0.019574,            0.041758,           0.0078576,             0.93232,             0.96725,             0.98064,             0.75582,            0.012409,            0.020711,           0.0024797,            0.004258,            0.004258,            0.004258
                  60,            0.017175,            0.034033,           0.0083171,             0.93528,             0.96535,             0.98229,             0.80896,            0.010402,             0.01996,           0.0023042,            0.004159,            0.004159,            0.004159
                  61,             0.01917,            0.045746,           0.0081799,             0.92454,             0.97247,             0.98132,             0.77375,             0.01236,            0.020679,            0.002473,             0.00406,             0.00406,             0.00406
